TradingDay,InstrumentID,Sector,OpenPrice,HighPrice,LowPrice,ClosePrice.x,Volume,Turnover,OpenOpenInterest,HighOpenInterest,LowOpenInterest,CloseOpenInterest,UpperLimitPrice,LowerLimitPrice,SettlementPrice,Minute,NumericExchTime,ClosePrice.y,err
2017-01-03,CF709,allday,15350,15550,15295,15355,6746,104023320,30818,31256,30720,30896,16005,14475,,14:59:00,53940,15355,0
2017-01-04,CF709,allday,15400,15470,15165,15255,7810,119649200,30884,31104,30566,30782,16195,14645,15345,14:59:00,53940,15360,-105
2017-01-05,CF709,allday,15370,15665,15355,15500,9538,148077450,30788,30958,30304,30376,16090,14550,15460,14:59:00,53940,15565,-65
2017-01-06,CF709,allday,15535,15670,15415,15535,8826,137200170,30774,31006,30474,30740,16305,14745,15595,14:59:00,53940,15460,75
2017-01-09,CF709,allday,15460,15660,15415,15515,8392,130495600,30740,31324,30548,31080,16325,14765,15460,14:59:00,53940,15655,-140
2017-01-10,CF709,allday,15650,15705,15485,15590,8766,136749600,31092,31116,30088,30514,16330,14770,15575,14:59:00,53940,15705,-115
2017-01-11,CF709,allday,15700,15760,15560,15710,8900,139418500,30518,31252,30394,31050,16380,14820,15715,14:59:00,53940,15670,40
2017-01-12,CF709,allday,15665,15735,15570,15600,6350,99377500,31050,31184,30606,30640,16450,14880,15675,14:59:00,53940,15590,10
2017-01-13,CF709,allday,15640,15675,15305,15615,13346,206462620,30640,32520,30378,32444,16435,14865,15630,14:59:00,53940,15340,275
2017-01-16,CF709,allday,15345,15510,15325,15465,7362,113595660,32384,32558,31900,32252,16245,14695,15415,14:59:00,53940,15400,65
2017-01-17,CF709,allday,15380,15530,15320,15405,6950,107273250,32252,32518,32096,32268,16205,14655,15425,14:59:00,53940,15460,-55
2017-01-18,CF709,allday,15500,15575,15250,15445,11972,184308940,32282,33728,32268,33338,16210,14660,15505,14:59:00,53940,15440,5
2017-01-19,CF709,allday,15440,15615,15370,15405,7300,113113500,33338,33724,32668,32668,16165,14625,15425,14:59:00,53940,15595,-190
2017-01-20,CF709,allday,15640,15660,15470,15550,10312,160764080,32670,33250,32244,32710,16270,14720,15615,14:59:00,53940,15470,80
2017-01-23,CF709,allday,15495,15680,15490,15635,6786,105793740,32712,33052,32614,33048,16370,14810,15590,10:14:00,36840,15575,60
2017-01-24,CF709,allday,15865,16060,15805,15960,14654,234097650,34098,35936,33778,35904,16435,14865,15915,14:59:00,53940,16000,-40
2017-01-25,CF709,allday,15930,16050,15870,15950,12710,202788050,35904,38734,35666,38726,16775,15175,15950,14:59:00,53940,15940,10
2017-01-26,CF709,allday,15950,16035,15900,16020,7056,112649040,38724,40004,38650,39956,17075,14835,15985,14:59:00,53940,15990,30
2017-02-03,CF709,allday,16270,16315,16115,16275,12920,209562400,40004,40642,39592,40228,17085,14845,16220,14:59:00,53940,16275,0
2017-02-06,CF709,allday,16170,16500,16170,16335,22858,374756910,40230,42964,40224,42490,17035,15405,16335,14:59:00,53940,16395,-60
2017-02-07,CF709,allday,16400,16400,16190,16270,11594,188634380,42490,43638,42440,43484,17215,15575,16300,14:59:00,53940,16265,5
2017-02-08,CF709,allday,16220,16330,16140,16285,11312,183424080,43468,45680,43444,45672,17085,15455,16280,14:59:00,53940,16220,65
2017-02-09,CF709,allday,16185,16310,16170,16245,11550,187572000,45736,47256,45636,46972,17030,15400,16250,14:59:00,53940,16210,35
2017-02-10,CF709,allday,16240,16330,16100,16225,13662,221665950,46972,47912,46854,47702,17055,15425,16235,14:59:00,53940,16200,25
2017-02-13,CF709,allday,16230,16470,16195,16255,21760,355884800,47702,51134,47540,51134,17040,15410,16270,14:59:00,53940,16320,-65
2017-02-14,CF709,allday,16385,16550,16210,16355,24450,400368750,51140,53756,51132,53530,17175,15535,16445,14:59:00,53940,16310,45
2017-02-15,CF709,allday,16325,16365,16170,16185,18012,292695000,53530,53958,52808,53668,17195,15555,16250,14:59:00,53940,16220,-35
2017-02-16,CF709,allday,16185,16200,15945,16135,18018,290540250,53668,57082,53468,56766,17065,15435,16115,14:59:00,53940,16065,70
2017-02-17,CF709,allday,16070,16165,15880,16120,17186,275491580,56766,57668,56588,57660,16935,15315,16105,14:59:00,53940,15910,210
2017-02-20,CF709,allday,15900,15995,15835,15900,13112,208677480,57664,61114,57590,61102,16835,15225,15895,14:59:00,53940,15990,-90
2017-02-21,CF709,allday,15960,16205,15960,16095,17792,286273280,61108,64292,61104,64290,16715,15115,16050,14:59:00,53940,16060,35
2017-02-22,CF709,allday,16070,16095,15870,15875,15996,255056220,64294,65604,64222,64792,16895,15285,16010,14:59:00,53940,15895,-20
2017-02-23,CF709,allday,15905,16010,15860,15970,16194,257970420,64794,64976,64174,64590,16745,15145,15950,14:59:00,53940,15960,10
2017-02-24,CF709,allday,15980,16315,15895,15945,33852,544170900,64590,68522,64576,68502,16730,15130,15990,14:59:00,53940,16310,-365
2017-02-27,CF709,allday,16320,16375,16170,16245,32096,522362400,68518,72286,67590,72286,16880,15270,16250,14:59:00,53940,16265,-20
2017-02-28,CF709,allday,16290,16480,16210,16275,33192,542855160,72288,75558,72288,74402,17090,15460,16295,14:59:00,53940,16350,-75
2017-03-01,CF709,allday,16375,16440,16260,16355,22616,369771600,74422,77042,74422,76984,17175,15535,16360,14:59:00,53940,16420,-65
2017-03-02,CF709,allday,16440,16505,16320,16340,24850,407788500,77016,80638,76764,80638,17170,15530,16370,14:59:00,53940,16410,-70
2017-03-03,CF709,allday,16435,16475,16115,16355,40864,666900480,80646,85130,80608,84758,17235,15585,16400,14:59:00,53940,16380,-25
2017-03-06,CF709,allday,16400,16865,16325,16350,67156,1117811620,84758,95202,84758,95074,17140,15500,16370,14:59:00,53940,16840,-490
2017-03-07,CF709,allday,16820,16900,16645,16765,44018,737961770,95118,102116,95118,102096,17480,15810,16810,14:59:00,53940,16725,40
2017-03-08,CF709,allday,16700,16755,16125,16345,82900,1356658500,102106,102322,96290,96922,17605,15925,16530,14:59:00,53940,16175,170
2017-03-09,CF709,allday,16175,16235,16005,16170,58530,943210950,96944,101738,94788,100954,17185,15545,16120,14:59:00,53940,16030,140
2017-03-10,CF709,allday,16020,16130,15755,16080,72966,1163078040,100964,104048,100902,102440,16925,15305,16060,14:59:00,53940,15930,150
2017-03-13,CF709,allday,15905,16095,15900,15935,57762,924480810,102520,110474,102484,110332,16740,15140,16010,14:59:00,53940,16000,-65
2017-03-14,CF709,allday,15985,16070,15760,15980,65382,1039246890,110330,123624,110330,123490,16810,15200,15990,14:59:00,53940,15780,200
2017-03-15,CF709,allday,15775,15910,15685,15730,56258,888595110,123580,128044,123522,126726,16690,15100,15795,14:59:00,53940,15730,0
2017-03-16,CF709,allday,15770,15930,15740,15850,43074,682722900,126724,130224,126488,130186,16585,15005,15835,14:59:00,53940,15860,-10
2017-03-17,CF709,allday,15875,15950,15655,15890,72014,1136020850,130206,136816,130132,133386,16645,15055,15905,14:59:00,53940,15730,160
2017-03-20,CF709,allday,15740,15825,15660,15690,57058,898092920,133374,137762,131882,137430,16565,14985,15730,14:59:00,53940,15700,-10
2017-03-21,CF709,allday,15710,15770,15505,15675,77338,1207632870,137462,138714,132160,134916,16530,14950,15680,14:59:00,53940,15570,105
2017-03-22,CF709,allday,15550,15615,15365,15480,60082,929768950,135030,136224,132878,132942,16400,14830,15475,14:59:00,53940,15480,0
2017-03-23,CF709,allday,15530,15930,15515,15805,195270,3083313300,133058,161828,133058,159118,16250,14700,15745,14:59:00,53940,15860,-55
2017-03-24,CF709,allday,15875,15875,15705,15805,90638,1431174020,159110,159374,155472,157052,16580,15000,15795,14:59:00,53940,15810,-5
2017-03-27,CF709,allday,15850,15910,15495,15640,135428,2122156760,157138,165254,157138,165188,16580,15000,15770,14:59:00,53940,15565,75
2017-03-28,CF709,allday,15555,15690,15500,15510,91640,1428667600,165190,171104,165162,171032,16455,14885,15565,14:59:00,53940,15565,-55
2017-03-29,CF709,allday,15580,15660,15455,15640,115112,1789991600,171034,174992,170188,173520,16370,14810,15560,14:59:00,53940,15555,85
2017-03-30,CF709,allday,15510,15575,15235,15530,171232,2635260480,173592,189340,173592,189312,16330,14770,15525,14:59:00,53940,15245,285
2017-03-31,CF709,allday,15275,15545,15260,15510,167356,2576445620,189252,190830,180448,182158,16315,14465,15410,14:59:00,53940,15350,160
2017-04-05,CF709,allday,15230,15495,15150,15430,113178,1742375310,182524,187354,182524,186306,16320,14470,,14:59:00,53940,15430,0
2017-04-06,CF709,allday,15425,15650,15300,15515,155676,2402859060,186426,198422,185948,196510,16165,14625,15525,14:59:00,53940,15355,160
2017-04-07,CF709,allday,15360,15540,15280,15370,183438,2831365530,196490,198714,194476,195080,16210,14660,15385,14:59:00,53940,15485,-115
2017-04-10,CF709,allday,15465,15715,15420,15460,248416,3865352960,195078,206074,195078,204160,16210,14660,15495,14:59:00,53940,15690,-230
2017-04-11,CF709,allday,15705,15745,15585,15610,152660,2391418900,204314,207878,199988,202604,16340,14780,15650,14:59:00,53940,15635,-25
2017-04-12,CF709,allday,15605,15710,15415,15495,234576,3654694080,202660,209282,202128,207308,16450,14880,15505,14:59:00,53940,15700,-205
2017-04-13,CF709,allday,15720,15855,15610,15660,200738,3159616120,207444,228312,206330,228134,16360,14800,15705,14:59:00,53940,15835,-175
2017-04-14,CF709,allday,15810,15845,15600,15790,167934,2638243140,228082,228596,214560,214560,16530,14950,15785,14:59:00,53940,15745,45
2017-04-17,CF709,allday,15715,15800,15630,15780,127268,1999380280,214610,217646,213666,213666,16500,14920,15760,14:59:00,53940,15655,125
2017-04-18,CF709,allday,15690,15960,15645,15790,250436,3965654060,213682,236374,213520,228026,16500,14920,15750,14:59:00,53940,15875,-85
2017-04-19,CF709,allday,15875,15960,15720,15950,173268,2747164140,227780,239034,221694,238322,16630,15040,,14:59:00,53940,15950,0
2017-04-20,CF709,allday,15980,16085,15850,15925,315556,5042584880,239062,253390,235984,245392,16650,15060,16000,14:59:00,53940,16025,-100
2017-04-21,CF709,allday,16000,16140,15950,16020,207252,3322249560,245358,262018,242044,261542,16780,15180,16005,14:59:00,53940,16120,-100
2017-04-24,CF709,allday,16095,16100,15915,15985,202018,3232288000,261614,262006,252884,253850,16835,15225,16010,14:59:00,53940,16000,-15
2017-04-25,CF709,allday,16000,16015,15795,15995,183586,2917181540,253878,258604,248814,248818,16800,15200,15975,14:59:00,53940,15810,185
2017-04-26,CF709,allday,15780,16125,15735,15840,253580,4049672600,248458,285028,246522,281570,16685,15095,15795,14:59:00,53940,16070,-230
2017-04-27,CF709,allday,16060,16230,16015,16130,183176,2950049480,281702,293524,280916,286106,16770,15170,16120,14:59:00,53940,16125,5
2017-04-28,CF709,allday,16060,16075,15820,16030,218966,3492507700,286328,286470,263596,263598,16915,15295,16010,14:59:00,53940,15875,155
2017-05-02,CF709,allday,15950,16035,15910,15965,93702,1495952430,263560,265568,259954,264212,16750,15150,,14:59:00,53940,15965,0
2017-05-03,CF709,allday,15950,16185,15875,15995,229006,3681271450,264190,310808,263814,305084,16765,15165,15925,14:59:00,53940,16120,-125
2017-05-04,CF709,allday,16090,16225,16005,16095,263402,4244723230,304880,314862,293026,313938,16880,15270,16085,14:59:00,53940,16155,-60
2017-05-05,CF709,allday,16200,16200,15810,16060,294964,4717949180,314088,314886,279656,279656,16925,15305,16100,14:59:00,53940,15815,245
2017-05-08,CF709,allday,15830,15875,15450,15730,391836,6120478320,279564,279566,268912,271432,16795,15195,15715,14:59:00,53940,15500,230
2017-05-09,CF709,allday,15470,15595,15455,15550,117708,1828005240,271448,271572,260490,260490,16405,14835,15520,14:59:00,53940,15515,35
2017-05-10,CF709,allday,15530,15670,15390,15600,194718,3022023360,260444,264050,255782,255782,16310,14750,15595,14:59:00,53940,15515,85
2017-05-11,CF709,allday,15535,15570,15380,15520,164256,2544325440,255776,259380,241874,242060,16300,14740,15500,14:59:00,53940,15495,25
2017-05-12,CF709,allday,15510,15780,15450,15570,217252,3394562500,242180,249716,232696,232696,16265,14715,15505,14:59:00,53940,15780,-210
2017-05-15,CF709,allday,15960,16290,15925,16185,531666,8575772580,232632,250392,228804,248096,16410,14840,16110,14:59:00,53940,16230,-45
2017-05-16,CF709,allday,16485,16540,16055,16095,499380,8109931200,249894,275978,246328,246408,16940,15320,16270,14:59:00,53940,16190,-95
2017-05-17,CF709,allday,16140,16205,15955,16120,268684,4323125560,246548,248436,232646,235784,17055,15425,16115,14:59:00,53940,16140,-20
2017-05-18,CF709,allday,16130,16250,15735,16145,342072,5468020920,235784,247592,212052,212912,16895,15285,16165,14:59:00,53940,15735,410
2017-05-19,CF709,allday,15700,15950,15700,15890,186728,2958705160,213154,213520,203834,204014,16785,15185,15835,14:59:00,53940,15810,80
2017-05-22,CF709,allday,15780,15995,15675,15880,242884,3848496980,204136,213650,203680,213650,16640,15050,15875,14:59:00,53940,15680,200
2017-05-23,CF709,allday,15700,15780,15635,15740,161592,2540226240,213724,217304,207624,207624,16640,15050,15725,14:59:00,53940,15715,25
2017-05-24,CF709,allday,15655,15910,15615,15725,214698,3380420010,207790,212110,203196,203510,16510,14930,15700,14:59:00,53940,15905,-180
2017-05-25,CF709,allday,15900,15950,15700,15720,172548,2727121140,203414,207092,201404,201424,16535,14955,15835,14:59:00,53940,15830,-110
2017-05-26,CF709,allday,15830,15890,15640,15775,173740,2736405000,201506,210694,200680,201390,16755,14855,15795,14:59:00,53940,15705,70
2017-05-31,CF709,allday,15665,15735,15425,15440,159782,2484610100,201468,209626,201468,205926,16695,14805,,14:59:00,53940,15440,0
2017-06-01,CF709,allday,15430,15575,15255,15540,217272,3347075160,206022,234100,206022,233238,16330,14770,15485,14:59:00,53940,15290,250
2017-06-02,CF709,allday,15330,15550,15330,15430,155852,2406354880,233388,234612,230498,232210,16180,14630,15410,14:59:00,53940,15385,45
2017-06-05,CF709,allday,15375,15465,15195,15425,216616,3317474040,232140,263320,230942,251636,16215,14665,15410,14:59:00,53940,15325,100
2017-06-06,CF709,allday,15360,15385,15235,15330,126310,1934437650,251496,254722,248840,252434,16085,14545,15330,14:59:00,53940,15305,25
2017-06-07,CF709,allday,15315,15480,15285,15350,134416,2067318080,252496,254726,245250,245252,16085,14545,15390,14:59:00,53940,15380,-30
2017-06-08,CF709,allday,15390,15695,15335,15450,204766,3176944490,245266,251758,233818,233818,16150,14610,15415,14:59:00,53940,15680,-230
2017-06-09,CF709,allday,15650,15690,15555,15605,131940,2060902800,233818,233948,218812,218812,16295,14735,15605,14:59:00,53940,15625,-20
2017-06-12,CF709,allday,15625,15660,15285,15630,207538,3206462100,218826,221112,209342,219450,16405,14835,15620,14:59:00,53940,15310,320
2017-06-13,CF709,allday,15310,15365,15180,15305,194156,2965732900,219352,226754,215276,224850,16225,14675,15310,14:59:00,53940,15195,110
2017-06-14,CF709,allday,15170,15325,15065,15165,212072,3216071880,225558,242002,220676,220948,16040,14510,15135,14:59:00,53940,15285,-120
2017-06-15,CF709,allday,15270,15315,15085,15220,132228,2008543320,220976,228700,220546,222736,15925,14405,15260,14:59:00,53940,15160,60
2017-06-16,CF709,allday,15075,15275,15065,15135,120380,1825562700,223228,227792,223228,225096,15950,14430,15130,11:29:00,41340,15180,-45
2017-06-19,CF709,allday,15100,15260,15055,15135,117598,1785137640,226252,231190,216032,216032,15925,14405,15130,14:59:00,53940,15235,-100
2017-06-20,CF709,allday,15200,15230,14985,15155,223992,3385639080,215978,243546,215978,218860,15940,14420,15180,14:59:00,53940,15180,-25
2017-06-21,CF709,allday,15145,15285,15100,15175,143644,2184107020,218926,222412,211642,211642,15875,14355,15155,14:59:00,53940,15215,-40
2017-06-22,CF709,allday,15245,15305,15110,15195,128052,1945109880,211644,212358,206050,206056,15970,14440,15230,14:59:00,53940,15130,65
2017-06-23,CF709,allday,15110,15285,15105,15260,126808,1929383720,206064,210114,202856,202856,15950,14430,15185,14:59:00,53940,15250,10
2017-06-26,CF709,allday,15240,15400,15220,15305,141178,2165670520,202908,203042,188724,188724,15980,14450,15315,14:59:00,53940,15345,-40
2017-06-27,CF709,allday,15315,15370,15115,15200,175784,2673674640,188792,200508,187828,199142,16110,14570,15235,14:59:00,53940,15165,35
2017-06-28,CF709,allday,15190,15250,14840,15205,275638,4151108280,199164,250862,198108,250862,15975,14445,15185,14:59:00,53940,14845,360
2017-06-29,CF709,allday,14860,14960,14800,14940,234942,3495936960,251082,258590,249250,256144,15815,14305,14895,14:59:00,53940,14830,110
2017-06-30,CF709,allday,14870,15000,14840,14950,138590,2069841650,256106,256140,237884,237884,15625,14135,14935,14:59:00,53940,14935,15
2017-07-03,CF709,allday,14970,15175,14805,14845,210316,3152636840,237802,252474,223154,223292,15685,14185,14860,14:59:00,53940,15040,-195
2017-07-04,CF709,allday,15010,15055,14900,15010,125242,1876751370,223224,225504,216980,216980,15740,14240,14995,14:59:00,53940,15015,-5
2017-07-05,CF709,allday,15015,15055,14735,14965,260642,3878352960,217020,246176,216920,224610,15735,14235,14970,14:59:00,53940,14975,-10
2017-07-06,CF709,allday,14900,14950,14845,14865,117194,1746190600,224660,225428,222668,222668,15625,14135,14900,14:59:00,53940,14930,-65
2017-07-07,CF709,allday,14980,15090,14915,15055,141036,2118360720,222758,223276,212064,212064,15645,14155,15000,14:59:00,53940,15045,10
2017-07-10,CF709,allday,15050,15280,14980,15020,191522,2901558300,212062,212540,190134,190176,15775,14265,15045,14:59:00,53940,15170,-150
2017-07-11,CF709,allday,15155,15195,14905,15145,169672,2548473440,190210,196646,186944,193190,15910,14390,15150,14:59:00,53940,14950,195
